GISJOIN,YEAR,STATE,COUNTY,COUNTYA,Sex by Age: Total Population,Male: Total Population,Male: Under 18,Male: 18 to 34 years old ,Male: 35 to 64 years old,Male: 65 years or Older,Female: Total Population,Female: Under 18,Female: 18 to 34 years old ,Female: 35 to 64 years old,Female: 65 years or Older,Race: Total Population,White,Black,American Indian,Asian,Native Hawaiian,Other Race,Education: Total Population,High School Degree or Less,Some College,College or More,Median Household Income,Proportion Employed in Civilian Labor Force,Proportion Unemployed in Civilian Labor Force
G3600790,2014-2018,New York,Putnam County,79,99070,49296,10220,9979,21751,7346,49774,10091,8904,22072,8707,99070,86904,2881,205,2019,24,9240,70298,23877,18394,28027,102186,0.303696743,0.017044508
G3600810,2014-2018,New York,Queens County,81,2298513,1114654,238588,279470,454094,142502,1183859,226870,280238,478597,198154,2298513,896722,421038,9977,580709,1100,468698,1646256,757986,369271,518999,64987,6.729351524,0.442360302
G3600830,2014-2018,New York,Rensselaer County,83,159431,78611,16170,20196,30986,11259,80820,15553,18371,32616,14280,159431,137648,10239,212,4134,9,12861,111082,41616,35983,33483,65851,0.481724433,0.025923591
G3600850,2014-2018,New York,Richmond County,85,474101,229424,53577,52480,91998,31369,244677,50926,51615,100180,41956,474101,352259,48591,1080,41427,197,42337,328753,139413,81014,108326,79267,1.256589433,0.064657326
G3600870,2014-2018,New York,Rockland County,87,323686,158667,45918,34592,56908,21249,165019,44147,32732,59744,28396,323686,228967,39715,544,19216,33,44183,203509,70348,50529,82632,91108,0.882615315,0.051139472
G3600890,2014-2018,New York,St. Lawrence County,89,109558,55780,11534,15092,20997,8157,53778,10884,13049,20118,9727,109558,101766,2642,828,1153,68,5075,71856,34622,20259,16975,49305,0.263309703,0.021189666
G3600910,2014-2018,New York,Saratoga County,91,227377,112468,23996,23740,47261,17471,114909,22973,22006,48664,21266,227377,211245,3960,472,6478,37,9134,161493,49047,45544,66902,80839,0.706663178,0.028242976
G3600930,2014-2018,New York,Schenectady County,93,154883,75453,17248,17253,30153,10799,79430,16227,17163,31324,14716,154883,119664,15965,351,7187,66,18120,106960,41764,31616,33580,63785,0.437489593,0.030913243
G3600950,2014-2018,New York,Schoharie County,95,31364,15620,2857,3456,6231,3076,15744,2798,3290,6373,3283,31364,30007,541,49,280,13,820,22210,10511,6748,4951,53989,0.08616219,0.00530485
G3600970,2014-2018,New York,Schuyler County,97,17992,8979,1828,1720,3743,1688,9013,1687,1600,3810,1916,17992,17353,224,31,107,0,522,13200,6238,4025,2937,51479,0.04993815,0.002925994
G3600990,2014-2018,New York,Seneca County,99,34612,18096,3533,4376,7287,2900,16516,3382,3187,6525,3422,34612,31669,1707,135,242,0,1484,24803,12277,7345,5181,54695,0.092602945,0.003360135
G3601010,2014-2018,New York,Steuben County,101,96927,48397,10982,9577,19658,8180,48530,10226,9178,19417,9709,96927,92017,1553,102,1484,15,3138,68069,32250,20090,15729,51789,0.255709256,0.017793848
G3601030,2014-2018,New York,Suffolk County,103,1487901,732269,164921,158957,304306,104085,755632,157987,149500,313091,135054,1487901,1200553,116880,3967,57527,451,143403,1028820,386145,276327,366348,96675,4.428794871,0.220115612
G3601050,2014-2018,New York,Sullivan County,105,75211,38595,8246,7972,15838,6539,36616,7786,7023,14794,7013,75211,60702,6297,191,1198,0,9884,53101,25178,15609,12314,56256,0.19533982,0.01639627
G3601070,2014-2018,New York,Tioga County,107,49045,24264,5365,4611,9971,4317,24781,5130,4368,10165,5118,49045,47371,322,91,346,18,1691,34739,15741,10149,8849,60736,0.137170826,0.0092597
G3601090,2014-2018,New York,Tompkins County,109,102962,50823,8088,20815,15786,6134,52139,7274,20117,17321,7427,102962,82924,4272,224,10386,31,8950,59782,15039,13231,31512,58743,0.298843876,0.014499132
G3601110,2014-2018,New York,Ulster County,111,179303,88774,16237,20046,37534,14957,90529,16183,18864,37104,18378,179303,152289,10615,368,3452,131,19927,129932,50950,37135,41847,63348,0.51581345,0.034035493
G3601130,2014-2018,New York,Warren County,113,64480,31698,6200,6154,13177,6167,32782,5756,6010,13690,7326,64480,61797,852,168,677,32,1735,47790,19201,14250,14339,59813,0.189933868,0.008795823
G3601150,2014-2018,New York,Washington County,115,61828,32002,6158,6955,13714,5175,29826,5752,5415,12546,6113,61828,57974,2025,197,347,0,2194,44839,22630,13058,9151,54114,0.169713586,0.010282608
G3601170,2014-2018,New York,Wayne County,117,90856,44971,9889,8832,18790,7460,45885,9816,8352,19074,8643,90856,84701,2631,144,606,78,4606,63828,28815,20784,14229,55765,0.260359921,0.016253539
G3601190,2014-2018,New York,Westchester County,119,968815,468898,112036,98294,191527,67041,499917,105064,97761,205231,91861,968815,630592,142443,4059,57410,262,163846,665958,211597,133464,320897,92758,2.853289959,0.176760949
G3601210,2014-2018,New York,Wyoming County,121,40565,21734,4069,5289,9195,3181,18831,3995,3587,7676,3573,40565,37162,1837,228,155,0,1912,29144,14883,9440,4821,57914,0.110390846,0.006880843
G3601230,2014-2018,New York,Yates County,123,25009,11999,2835,2473,4416,2275,13010,2815,2879,4716,2600,25009,24061,226,53,189,7,782,16597,7930,4616,4051,54343,0.066494993,0.003282822
