state,county,kfr_black_female_n,kfr_black_female_mean,kfr_top20_black_female_n,kfr_top20_black_female_mean,married_black_female_n,married_black_female_mean,has_dad_black_female_n,has_dad_black_female_mean,teenbrth_black_female_n,teenbrth_black_female_mean,working_black_female_n,working_black_female_mean,proginc_black_female_n,proginc_black_female_mean,coll_black_female_n,coll_black_female_mean,wgflx_rk_black_female_n,wgflx_rk_black_female_mean,hours_wk_black_female_n,hours_wk_black_female_mean,kfr_top01_black_female_n,kfr_top01_black_female_mean,lpov_nbh_black_female_n,lpov_nbh_black_female_mean,two_par_black_female_n,two_par_black_female_mean,has_mom_black_female_n,has_mom_black_female_mean,staytract_black_female_n,staytract_black_female_mean,staycz_black_female_n,staycz_black_female_mean,stayhome_black_female_n,stayhome_black_female_mean,grad_black_female_n,grad_black_female_mean,comcoll_black_female_n,comcoll_black_female_mean,kfr_white_female_n,kfr_white_female_mean,kfr_top20_white_female_n,kfr_top20_white_female_mean,married_white_female_n,married_white_female_mean,has_dad_white_female_n,has_dad_white_female_mean,teenbrth_white_female_n,teenbrth_white_female_mean,working_white_female_n,working_white_female_mean,proginc_white_female_n,proginc_white_female_mean,coll_white_female_n,coll_white_female_mean,wgflx_rk_white_female_n,wgflx_rk_white_female_mean,hours_wk_white_female_n,hours_wk_white_female_mean,kfr_top01_white_female_n,kfr_top01_white_female_mean,lpov_nbh_white_female_n,lpov_nbh_white_female_mean,two_par_white_female_n,two_par_white_female_mean,has_mom_white_female_n,has_mom_white_female_mean,staytract_white_female_n,staytract_white_female_mean,staycz_white_female_n,staycz_white_female_mean,stayhome_white_female_n,stayhome_white_female_mean,grad_white_female_n,grad_white_female_mean,comcoll_white_female_n,comcoll_white_female_mean,kfr_black_male_n,kfr_black_male_mean,kfr_top20_black_male_n,kfr_top20_black_male_mean,married_black_male_n,married_black_male_mean,has_dad_black_male_n,has_dad_black_male_mean,working_black_male_n,working_black_male_mean,proginc_black_male_n,proginc_black_male_mean,coll_black_male_n,coll_black_male_mean,wgflx_rk_black_male_n,wgflx_rk_black_male_mean,hours_wk_black_male_n,hours_wk_black_male_mean,kfr_top01_black_male_n,kfr_top01_black_male_mean,lpov_nbh_black_male_n,lpov_nbh_black_male_mean,two_par_black_male_n,two_par_black_male_mean,has_mom_black_male_n,has_mom_black_male_mean,staytract_black_male_n,staytract_black_male_mean,staycz_black_male_n,staycz_black_male_mean,stayhome_black_male_n,stayhome_black_male_mean,grad_black_male_n,grad_black_male_mean,comcoll_black_male_n,comcoll_black_male_mean,kfr_white_male_n,kfr_white_male_mean,kfr_top20_white_male_n,kfr_top20_white_male_mean,married_white_male_n,married_white_male_mean,has_dad_white_male_n,has_dad_white_male_mean,working_white_male_n,working_white_male_mean,proginc_white_male_n,proginc_white_male_mean,coll_white_male_n,coll_white_male_mean,wgflx_rk_white_male_n,wgflx_rk_white_male_mean,hours_wk_white_male_n,hours_wk_white_male_mean,kfr_top01_white_male_n,kfr_top01_white_male_mean,lpov_nbh_white_male_n,lpov_nbh_white_male_mean,two_par_white_male_n,two_par_white_male_mean,has_mom_white_male_n,has_mom_white_male_mean,staytract_white_male_n,staytract_white_male_mean,staycz_white_male_n,staycz_white_male_mean,stayhome_white_male_n,stayhome_white_male_mean,grad_white_male_n,grad_white_male_mean,comcoll_white_male_n,comcoll_white_male_mean,kid_white_male_n,kid_white_female_n,kid_black_male_n,kid_black_female_n
1,21,201,.34172812,201,.037621286,201,.1179457,201,.66251135,201,.44224381,201,.75390595,,,22,.16735905,,,,,201,.00048947398,197,.13051178,201,.41286922,201,.75073266,197,.37646478,197,.74597305,124,.23450831,,,22,.311524,1347,.50159103,1347,.18539558,1347,.56974131,1347,.88284737,1347,.25183854,1347,.6779303,97,.050701156,164,.32276815,69,.44342211,97,22.814707,1347,.004932804,1339,.17962834,1347,.81499743,1347,.93194121,1339,.35060772,1339,.77501261,999,.11415488,97,.10034298,164,.4175109,181,.33454666,181,.034117877,181,.15423699,181,.65695602,181,.71416277,,,,,,,,,181,.00052169798,180,.16738786,181,.37673113,181,.71841562,180,.35485837,180,.66585267,101,.1712874,,,,,1426,.48279941,1426,.14630292,1426,.52194369,1426,.87394202,1426,.77727056,90,-.0022578409,148,.27109292,83,.47648171,90,37.39492,1426,.001101503,1410,.19426002,1426,.8061831,1426,.93232441,1410,.36317983,1410,.76336509,1072,.14125487,90,.098201446,148,.31453744,4357,3966,708,656
1,23,320,.33489293,320,.051788379,320,.15503049,320,.62535769,320,.4223974,320,.73770177,,,27,.36413425,,,,,320,-.000098483302,318,.23512033,320,.35848632,320,.73269045,318,.35024607,318,.46553078,208,.13147423,,,27,.36243781,322,.57449037,322,.28195605,322,.67219514,322,.88333189,322,.18426174,322,.68371862,27,-.00054985902,40,.39308208,20,.42277801,27,25.224333,322,.0091552269,317,.18637009,322,.78436303,322,.90210944,317,.34799755,317,.52149796,238,.063883021,27,.18307702,40,.63389009,273,.35474223,273,.054136056,273,.16102567,273,.64014757,273,.7308386,,,24,-.0033659069,,,,,273,-.00027552701,264,.14898714,273,.40175414,273,.76083159,264,.4373613,264,.52239484,183,.2153109,,,24,.091802493,304,.57183844,304,.26117334,304,.55115247,304,.93714291,304,.82725275,23,.057224769,33,.18380928,22,.68393075,23,41.1394,304,.00089785998,303,.15470706,304,.86222684,304,.92453921,303,.4077366,303,.56156266,229,.088547193,23,-.0016272099,33,.3614752,991,957,1047,1092
1,25,640,.35878748,640,.067417897,640,.17462035,640,.60779929,640,.4963381,640,.77560127,34,.033922911,49,.32080501,28,.43465942,34,29.721285,640,.000039964201,628,.15892705,640,.33516124,640,.72739279,628,.38472527,628,.62426811,410,.16106416,34,.11712559,49,.37906662,648,.56356233,648,.26918924,648,.58730966,648,.90840501,648,.19009131,648,.75411332,49,.00061071099,81,.40794519,34,.34284216,49,23.4445,648,.010459804,640,.25489944,648,.86950326,648,.96092844,640,.30729622,640,.68186152,474,.10328715,49,.10822501,81,.62308562,574,.36220679,574,.033704393,574,.13714916,574,.59549439,574,.7923032,22,.0086424658,40,.014287611,,,22,24.267323,574,-.000412144,560,.15427765,574,.36900532,574,.77368128,560,.40958452,560,.59656644,374,.22764325,22,-.0033111661,40,.039451979,649,.56182855,649,.25576237,649,.56472421,649,.90885699,649,.82432365,50,-.000655932,89,.39267892,48,.54472715,50,39.707909,649,.0061895,643,.20996331,649,.83770871,649,.92928714,643,.34096891,643,.67944098,467,.14827159,50,.032049641,89,.48972046,1958,1791,1943,1965
1,27,72,.35302424,72,.023021163,72,.23904195,72,.51710868,72,.43724284,72,.7305479,,,,,,,,,72,-.0024667629,70,.11057173,72,.28084764,72,.75814456,70,.42870075,70,.7003271,44,.19123328,,,,,380,.50560087,380,.1209839,380,.60249358,380,.84428561,380,.22385618,380,.72011918,34,.0045176661,61,.32106933,26,.32512259,34,24.919006,380,.000089120498,377,.18327357,380,.77573609,380,.93143582,377,.38097599,377,.63995022,280,.12149901,34,.01488467,61,.49971896,62,.35954115,62,.012850732,62,.14343269,62,.43872562,62,.82954448,,,,,,,,,62,-.00054019497,62,.09619958,62,.19316962,62,.75650138,62,.49994448,62,.70078933,41,.34595832,,,,,468,.49395859,468,.14110111,468,.59901834,468,.86442053,468,.79939872,26,-.017567925,53,.090555325,22,.47428763,26,35.66209,468,.004261151,463,.12544857,468,.79985809,468,.93546033,463,.3955808,463,.65618837,338,.14414437,26,.0046671391,53,.28846917,1373,1237,345,329
1,29,41,.37629202,41,.076656662,41,.20480041,41,.45505109,41,.58408892,41,.86008751,,,,,,,,,41,-.00070782198,41,.17059262,41,.33352709,41,.88744229,41,.173706,41,.48354432,31,.18008934,,,,,493,.50625366,493,.17914976,493,.59885031,493,.87559086,493,.23370688,493,.71869141,36,.003183139,58,.39332563,30,.49447012,36,32.246002,493,.001952754,490,.12137317,493,.81602567,493,.94006604,490,.39307052,490,.77343374,363,.099790171,36,.10927694,58,.49245766,37,.37141183,37,.03438475,37,.39934736,37,.53045547,37,.78568006,,,,,,,,,37,.000414765,36,.13339868,37,.3483192,37,.81820166,36,.27197874,36,.56070262,22,.080175042,,,,,545,.4959594,545,.14330977,545,.57339913,545,.90185124,545,.75708795,41,-.00083263399,68,.25948715,39,.44765589,41,40.329639,545,.00094901898,538,.12223006,545,.83760095,545,.93633199,538,.47234061,538,.74473184,387,.1188387,41,.085701764,68,.34156221,1658,1517,77,70
1,31,425,.37350342,425,.074499093,425,.19720231,425,.55167109,425,.39980966,425,.7959398,27,-.0022165049,55,.3613289,20,.3866362,27,25.288797,425,.00023414999,420,.21087041,425,.44674945,425,.89510244,420,.23323543,420,.57127547,287,.14838021,27,.16316682,55,.42222854,1622,.54738885,1622,.22152196,1622,.58933663,1622,.88418621,1622,.1659542,1622,.72069687,157,.027474284,266,.45875189,119,.39395672,157,25.043703,1622,.0076160911,1612,.39310342,1622,.83279359,1622,.94883192,1612,.20935297,1612,.53946406,1276,.084152207,158,.19915774,266,.6149289,465,.3197588,465,.050483309,465,.20043275,465,.61953288,465,.70670104,27,.025019746,45,.16498269,,,27,20.124132,465,.0000378886,459,.21721734,465,.46783966,465,.84809524,459,.24916178,459,.51650882,298,.20045315,27,-.0065670079,45,.21507441,1682,.52068967,1682,.19383703,1682,.54455978,1682,.88778079,1682,.80619657,159,.027645191,272,.29979992,150,.52350229,159,39.964439,1682,.0074817361,1672,.35049909,1682,.82661498,1682,.93882513,1672,.27806869,1672,.54299176,1285,.13190715,159,.13229541,272,.40734774,3841,3602,1244,1172
1,33,428,.37877294,428,.073841073,428,.20412944,428,.61919045,428,.42682168,428,.79565895,26,.0090193413,41,.35960314,,,26,23.125277,428,.002685732,422,.29989517,428,.47165385,428,.85222667,422,.25449285,422,.63258052,319,.14779612,26,.20784117,41,.37857363,1909,.51313972,1909,.20184211,1909,.60968721,1909,.87799549,1909,.22088031,1909,.68935013,131,.0082840724,245,.32631728,94,.41296145,131,23.664742,1909,.0052957339,1902,.30453107,1909,.8216418,1909,.94346106,1902,.24816436,1902,.70021182,1509,.10120293,132,.073590241,245,.42227504,437,.33441573,437,.0610912,437,.20215888,437,.58903879,437,.71772623,21,-.0070436052,41,.094208643,,,21,26.119505,437,.0038550331,431,.20558996,437,.45107365,437,.86207604,431,.35851341,431,.66773051,270,.24414995,21,.091389999,41,.16853516,1977,.5148567,1977,.18273744,1977,.55317509,1977,.87793189,1977,.81967169,130,.000338482,207,.37114027,115,.54505694,130,36.077038,1977,.0027774321,1964,.30891418,1977,.81525224,1977,.93735784,1964,.30222914,1964,.70558256,1528,.1320198,130,.083513305,207,.41232389,5109,4767,1333,1359
1,35,292,.3505044,292,.049423825,292,.15264978,292,.51894683,292,.42582589,292,.71110338,,,25,.193708,,,,,292,.00078992301,288,.18791288,292,.32674456,292,.80758095,288,.32785851,288,.54108,197,.1022263,,,25,.28575909,306,.52467841,306,.20378444,306,.56455988,306,.86989188,306,.17915007,306,.73704058,27,-.0032788159,37,.37394351,,,27,23.04459,306,.0000848122,299,.1794097,306,.79188001,306,.9228512,299,.27071366,299,.54099447,199,.076168552,27,.16006574,37,.56561881,299,.32690755,299,.028032143,299,.13410483,299,.56364924,299,.72921169,,,,,,,,,299,.000071752504,289,.17663416,299,.27367601,299,.70844328,289,.39036739,289,.53787464,175,.24447161,,,,,291,.49062544,291,.11783018,291,.52205992,291,.89364672,291,.77990925,,,36,.23443103,,,,,291,.00036447201,286,.22132485,291,.83150536,291,.93760288,286,.33987746,286,.58140373,203,.14150454,,,36,.43371183,811,782,1039,938
1,37,135,.34180048,135,.044187408,135,.10637659,135,.55549002,135,.57311392,135,.8298918,,,,,,,,,135,.001073316,133,.13309361,135,.23830402,135,.68108678,133,.26753515,133,.60569715,77,.095903054,,,,,246,.44651815,246,.13145468,246,.4826569,246,.88868624,246,.30225563,246,.70334488,,,34,.33748963,,,,,246,.000191728,244,.22860061,246,.81742483,246,.92811775,244,.25252861,244,.61799264,168,.16657794,,,34,.54679126,135,.30787945,135,.033951744,135,.15064844,135,.48153934,135,.73419607,,,,,,,,,135,.025859276,133,.14471473,135,.18170045,135,.70032811,133,.36913565,133,.63628918,68,.26064885,,,,,227,.50080931,227,.11662912,227,.5423522,227,.87600166,227,.83579534,,,24,.096400574,,,,,227,-.00076471001,223,.19805016,227,.77146608,227,.89558381,223,.30325219,223,.58032197,160,.10154801,,,24,.10386447,882,782,599,557
1,39,268,.31189379,268,.0333363,268,.15841688,268,.48210374,268,.51963723,268,.75433671,23,.36027208,29,.098305069,,,23,15.601806,268,.0087532317,265,.13816567,268,.3547588,268,.87188303,265,.3324579,265,.59005237,181,.17006497,23,-.003965524,29,.19417821,1254,.52246451,1254,.2187696,1254,.5908739,1254,.83706009,1254,.22447954,1254,.71026486,118,.021685008,175,.35093927,95,.43353531,118,28.128128,1254,.0068537141,1241,.22667651,1254,.77258021,1254,.9353922,1241,.29756096,1241,.59091264,906,.094777323,118,.10525542,175,.47351927,226,.30404699,226,.030577008,226,.18632652,226,.51003462,226,.75142246,,,22,.030480202,,,,,226,.00089720101,222,.12189685,226,.30004844,226,.78983963,222,.32418483,222,.47678268,132,.24102473,,,22,.21209833,1331,.51954907,1331,.21274,1331,.54803932,1331,.85467434,1331,.81340772,126,.0076970202,190,.15522313,111,.46342608,126,38.741764,1331,.0059712729,1324,.23833807,1331,.78256911,1331,.92789489,1324,.31288928,1324,.59749365,928,.13149177,126,.023167841,190,.28745902,3677,3499,738,733
